time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-22 00:00:00+00:00,64,25,0,0
2026-04-23 00:00:00+00:00,56,18,0,0
2026-04-24 00:00:00+00:00,61,22,0,0
2026-04-25 00:00:00+00:00,49,22,0,0
2026-04-26 00:00:00+00:00,39,11,0,0
2026-04-27 00:00:00+00:00,18,5,0,0
2026-04-28 00:00:00+00:00,24,6,0,0
2026-04-29 00:00:00+00:00,40,11,2,2
2026-04-30 00:00:00+00:00,18,6,0,0
2026-05-01 00:00:00+00:00,29,5,1,1
2026-05-02 00:00:00+00:00,29,7,0,0
2026-05-03 00:00:00+00:00,17,8,0,0
2026-05-04 00:00:00+00:00,13,3,0,0
2026-05-05 00:00:00+00:00,40,12,0,0
