url_path,views_total,views_unique
/KajaBraz/AdventOfCode2024,59,15
/KajaBraz/AdventOfCode2024/blob/main/day13/solution.py,12,8
/KajaBraz/AdventOfCode2024/blob/main/day09/solution.py,11,7
/KajaBraz/AdventOfCode2024/tree/main/day13,9,8
/KajaBraz/AdventOfCode2024/tree/main/day09,9,7
/KajaBraz/AdventOfCode2024/tree/main,9,5
/KajaBraz/AdventOfCode2024/blob/main/day11/solution.py,8,7
/KajaBraz/AdventOfCode2024/tree/main/day11,8,7
/KajaBraz/AdventOfCode2024/blob/main/day12/solution.py,8,5
/KajaBraz/AdventOfCode2024/tree/main/day12,8,5
