url_path,views_total,views_unique
/KajaBraz/AdventOfCode2024,34,19
/KajaBraz/AdventOfCode2024/tree/main/day04,13,6
/KajaBraz/AdventOfCode2024/blob/main/README.md,12,5
/KajaBraz/AdventOfCode2024/blob/main/read_data.py,10,7
/KajaBraz/AdventOfCode2024/blob/main/day04/solution.py,9,6
/KajaBraz/AdventOfCode2024/tree/main/day02,8,6
/KajaBraz/AdventOfCode2024/blob/main/day01/solution.py,7,6
/KajaBraz/AdventOfCode2024/blob/main/day03/solution.py,7,6
/KajaBraz/AdventOfCode2024/tree/main/day03,6,6
/KajaBraz/AdventOfCode2024/blob/main/day02/solution.py,6,5
