url_path,views_total,views_unique
/KajaBraz/AdventOfCode2024,41,15
/KajaBraz/AdventOfCode2024/blob/main/day24/solution.py,8,4
/KajaBraz/AdventOfCode2024/tree/main/day16,6,4
/KajaBraz/AdventOfCode2024/tree/main/day24,6,4
/KajaBraz/AdventOfCode2024/blob/main/day17/solution.py,6,2
/KajaBraz/AdventOfCode2024/blob/main/day16/solution.py,5,4
/KajaBraz/AdventOfCode2024/blob/main/day20/solution.py,5,4
/KajaBraz/AdventOfCode2024/tree/main/day14,4,3
/KajaBraz/AdventOfCode2024/blob/main/day18/solution.py,4,2
/KajaBraz/AdventOfCode2024/blob/main/day14/solution.py,3,3
