url_path,views_total,views_unique
/KajaBraz/AdventOfCode2024,36,12
/KajaBraz/AdventOfCode2024/blob/main/day24/solution.py,10,4
/KajaBraz/AdventOfCode2024/tree/main/day24,8,4
/KajaBraz/AdventOfCode2024/blob/main/day17/solution.py,6,2
/KajaBraz/AdventOfCode2024/blob/main/day20/solution.py,5,4
/KajaBraz/AdventOfCode2024/blob/main/day18/solution.py,4,2
/KajaBraz/AdventOfCode2024/tree/main/day16,4,2
/KajaBraz/AdventOfCode2024/blob/main/day23/solution.py,3,3
/KajaBraz/AdventOfCode2024/blob/main/day25/solution.py,3,3
/KajaBraz/AdventOfCode2024/tree/main/day20,3,3
