url_path,views_total,views_unique
/KajaBraz/AdventOfCode2024,64,23
/KajaBraz/AdventOfCode2024/tree/main/day04,18,10
/KajaBraz/AdventOfCode2024/blob/main/read_data.py,13,8
/KajaBraz/AdventOfCode2024/blob/main/README.md,13,6
/KajaBraz/AdventOfCode2024/blob/main/day04/solution.py,10,7
/KajaBraz/AdventOfCode2024/blob/main/day06/solution.py,9,6
/KajaBraz/AdventOfCode2024/tree/main/day02,8,6
/KajaBraz/AdventOfCode2024/blob/main/day01/solution.py,7,6
/KajaBraz/AdventOfCode2024/blob/main/day03/solution.py,7,6
/KajaBraz/AdventOfCode2024/tree/main/day06,7,6
