url_path,views_total,views_unique
/KajaBraz/AdventOfCode2024,29,11
/KajaBraz/AdventOfCode2024/blob/main/day24/solution.py,10,4
/KajaBraz/AdventOfCode2024/tree/main/day24,8,4
/KajaBraz/AdventOfCode2024/blob/main/day23/solution.py,3,3
/KajaBraz/AdventOfCode2024/blob/main/day25/solution.py,3,3
/KajaBraz/AdventOfCode2024/tree/main/day23,3,3
/KajaBraz/AdventOfCode2024/tree/main/day25,3,3
/KajaBraz/AdventOfCode2024/blob/main/day21/solution.py,3,2
/KajaBraz/AdventOfCode2024/tree/main/day16,3,1
/KajaBraz/AdventOfCode2024/blob/main/day20/solution.py,2,2
