url_path,views_total,views_unique
/KajaBraz/AdventOfCode2024,21,14
/KajaBraz/AdventOfCode2024/tree/main/day02,8,6
/KajaBraz/AdventOfCode2024/blob/main/README.md,8,5
/KajaBraz/AdventOfCode2024/blob/main/day01/solution.py,7,6
/KajaBraz/AdventOfCode2024/blob/main/day02/solution.py,6,5
/KajaBraz/AdventOfCode2024/blob/main/day03/solution.py,6,5
/KajaBraz/AdventOfCode2024/blob/main/read_data.py,6,5
/KajaBraz/AdventOfCode2024/tree/main/day01,5,5
/KajaBraz/AdventOfCode2024/tree/main/day03,5,5
/KajaBraz/AdventOfCode2024/blob/main/day03/input.txt,3,2
