time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-13 00:00:00+00:00,5.0,4.0,34,8
2024-12-14 00:00:00+00:00,5.0,3.0,24,3
2024-12-15 00:00:00+00:00,,,7,3
2024-12-16 00:00:00+00:00,1.0,1.0,27,4
2024-12-17 00:00:00+00:00,3.0,2.0,2,2
2024-12-18 00:00:00+00:00,,,16,3
2024-12-19 00:00:00+00:00,2.0,1.0,9,1
2024-12-20 00:00:00+00:00,3.0,2.0,6,2
2024-12-22 00:00:00+00:00,7.0,7.0,26,3
2024-12-23 00:00:00+00:00,1.0,1.0,16,4
2024-12-24 00:00:00+00:00,3.0,1.0,3,1
2024-12-25 00:00:00+00:00,2.0,1.0,30,6
2024-12-26 00:00:00+00:00,,,10,4
