url_path,views_total,views_unique
/KajaBraz/AdventOfCode2024,96,28
/KajaBraz/AdventOfCode2024/tree/main/day04,20,11
/KajaBraz/AdventOfCode2024/blob/main/read_data.py,16,11
/KajaBraz/AdventOfCode2024/blob/main/README.md,13,6
/KajaBraz/AdventOfCode2024/blob/main/day04/solution.py,12,9
/KajaBraz/AdventOfCode2024/blob/main/day09/solution.py,11,7
/KajaBraz/AdventOfCode2024/tree/main,11,6
/KajaBraz/AdventOfCode2024/blob/main/day06/solution.py,10,6
/KajaBraz/AdventOfCode2024/blob/main/day01/solution.py,9,8
/KajaBraz/AdventOfCode2024/blob/main/day02/solution.py,9,7
